Learning Rate	Train Loss	Train Acc.	Train IOU.	Validate Loss	Validate Acc	Validate IOU	
0.001000	0.540499	0.650923	0.403121	0.469455	0.711213	0.553095	
0.001000	0.451553	0.727358	0.585768	0.865641	0.500000	0.397927	
0.001000	0.421697	0.749295	0.622200	0.502917	0.645490	0.561506	
0.001000	0.402079	0.763656	0.645055	0.476602	0.644461	0.565473	
0.001000	0.399076	0.768681	0.647733	0.682764	0.533172	0.440172	
0.001000	0.390248	0.778906	0.665137	0.654736	0.536394	0.445148	
0.001000	0.384618	0.783545	0.669724	0.375793	0.803353	0.703132	
0.001000	0.374822	0.789777	0.681890	0.403777	0.805737	0.677483	
0.001000	0.361192	0.792327	0.691043	0.369814	0.823141	0.708333	
0.001000	0.356697	0.803779	0.703341	0.490826	0.625573	0.549149	
0.001000	0.354645	0.806959	0.706402	0.389108	0.774941	0.691213	
0.001000	0.347574	0.809215	0.710823	0.577152	0.609837	0.526401	
0.001000	0.349240	0.811579	0.711703	0.443017	0.709295	0.630683	
0.001000	0.340108	0.814111	0.718540	0.332107	0.771498	0.704138	
0.001000	0.345690	0.815564	0.717074	0.470989	0.663255	0.589074	
0.001000	0.341868	0.813698	0.717438	0.375083	0.772863	0.702437	
0.001000	0.335495	0.818968	0.721685	0.336931	0.821836	0.725157	
0.001000	0.335810	0.817825	0.720318	0.330995	0.794103	0.726228	
0.001000	0.335683	0.820164	0.725945	0.402604	0.749400	0.675129	
0.001000	0.336739	0.817151	0.722133	0.537161	0.614202	0.534137	
0.001000	0.337970	0.816852	0.718436	0.818632	0.503064	0.407678	
0.001000	0.336398	0.813094	0.716672	0.634046	0.549619	0.460577	
0.001000	0.332071	0.820820	0.725544	0.383919	0.732936	0.663792	
0.001000	0.336191	0.818813	0.722942	0.381047	0.744647	0.672638	
0.001000	0.331157	0.820411	0.726625	0.602404	0.559678	0.473013	
0.001000	0.327655	0.821887	0.727364	0.472661	0.665976	0.593088	
0.001000	0.328459	0.824216	0.732516	0.446142	0.664079	0.588088	
0.001000	0.327971	0.825134	0.730778	0.715102	0.523828	0.429504	
0.001000	0.325941	0.828787	0.736978	0.433040	0.712065	0.644840	
0.001000	0.327598	0.822896	0.730701	0.334882	0.773064	0.705574	
0.001000	0.328947	0.823239	0.727576	0.351600	0.821594	0.722012	
0.001000	0.328063	0.825438	0.730339	0.339614	0.739451	0.672142	
0.001000	0.325783	0.827340	0.734332	0.454383	0.658115	0.583532	
0.001000	0.329445	0.824710	0.730923	0.406340	0.735059	0.660233	
0.001000	0.327948	0.819471	0.726045	0.336808	0.830711	0.729686	
0.001000	0.324834	0.826493	0.732368	0.500868	0.639900	0.568288	
0.001000	0.319810	0.828982	0.736530	0.789492	0.522638	0.434064	
0.001000	0.327800	0.825094	0.732211	0.343329	0.842732	0.720688	
0.001000	0.323027	0.824549	0.728528	0.361169	0.812015	0.721414	
0.001000	0.322133	0.826917	0.736212	0.632089	0.564591	0.477508	
0.001000	0.323898	0.829681	0.736992	0.933477	0.500000	0.401918	
0.001000	0.324474	0.827642	0.736898	0.381637	0.723545	0.652987	
0.001000	0.317160	0.832696	0.740022	0.536440	0.610658	0.530671	
0.001000	0.321992	0.827353	0.736331	0.416386	0.703211	0.632108	
0.001000	0.317407	0.830538	0.740391	0.793262	0.503090	0.407415	
0.001000	0.324487	0.826585	0.733882	0.686983	0.550626	0.459442	
0.001000	0.320326	0.825831	0.731501	0.348104	0.785037	0.711860	
0.001000	0.324257	0.821379	0.726482	0.375711	0.750753	0.683977	
0.001000	0.318529	0.831145	0.740827	0.871400	0.500326	0.405498	
0.001000	0.322743	0.828641	0.737227	0.380240	0.711414	0.641505	
0.001000	0.324826	0.827439	0.733822	0.390278	0.708585	0.639657	
0.001000	0.322068	0.826596	0.735243	0.369804	0.726157	0.653912	
0.001000	0.318501	0.832629	0.742102	0.328785	0.752595	0.686669	
0.001000	0.322606	0.827738	0.734964	0.351317	0.741482	0.673334	
0.001000	0.322493	0.823041	0.730042	0.889249	0.500079	0.401468	
0.001000	0.324966	0.826426	0.732476	0.419247	0.717288	0.647759	
0.001000	0.323760	0.831798	0.740030	0.410271	0.716647	0.646096	
0.001000	0.319682	0.831863	0.740002	0.681931	0.553975	0.462949	
0.001000	0.320177	0.832938	0.743410	0.316413	0.791046	0.724040	
0.001000	0.320019	0.827485	0.738725	0.316621	0.816256	0.747669	
0.001000	0.325540	0.824792	0.732917	0.323406	0.832246	0.756125	
0.001000	0.316207	0.835254	0.744678	0.336707	0.786069	0.710039	
0.001000	0.319126	0.831783	0.739638	0.504176	0.619409	0.539417	
0.001000	0.318008	0.829429	0.739083	0.549582	0.598249	0.516901	
0.001000	0.319620	0.825052	0.734744	0.375121	0.839492	0.686005	
0.001000	0.321644	0.827946	0.738230	0.337408	0.776759	0.713954	
0.001000	0.318976	0.829530	0.738020	0.349308	0.792774	0.709976	
0.001000	0.320579	0.830861	0.737395	0.733629	0.525905	0.434743	
0.001000	0.321081	0.829801	0.738455	0.925096	0.501920	0.406367	
0.001000	0.323048	0.825666	0.732883	0.515194	0.656565	0.585638	
0.001000	0.321710	0.829228	0.736315	0.349346	0.777937	0.703658	
0.001000	0.311475	0.830492	0.739922	0.298866	0.831338	0.756784	
0.001000	0.322446	0.832341	0.741702	0.422889	0.703146	0.632400	
0.001000	0.319422	0.829315	0.738470	0.368924	0.750639	0.683337	
0.001000	0.315290	0.832175	0.742760	0.427593	0.749116	0.671479	
0.001000	0.324021	0.829755	0.735587	0.706688	0.501386	0.405974	
0.001000	0.320126	0.827009	0.736143	0.313293	0.842354	0.751264	
0.001000	0.319536	0.829654	0.740474	0.371004	0.778288	0.700455	
0.001000	0.318157	0.835124	0.744025	0.339524	0.768260	0.696274	
0.001000	0.318409	0.832041	0.742400	0.328108	0.753959	0.689372	
0.001000	0.313786	0.832788	0.744936	0.335597	0.778101	0.687513	
0.001000	0.316557	0.833835	0.741963	0.337079	0.791060	0.719247	
0.001000	0.320468	0.828448	0.737796	0.381340	0.733182	0.657703	
0.001000	0.320014	0.826389	0.737036	0.366020	0.814248	0.707745	
0.001000	0.317946	0.831669	0.742890	0.347187	0.778617	0.690976	
0.001000	0.317293	0.828400	0.740040	0.406837	0.727078	0.646936	
0.001000	0.317204	0.832511	0.742579	0.350955	0.787336	0.723497	
0.001000	0.317772	0.830158	0.740528	0.867184	0.501463	0.406417	
0.001000	0.329467	0.828420	0.739451	0.340640	0.757246	0.690664	
0.001000	0.315833	0.833422	0.745959	0.297819	0.815217	0.741924	
0.001000	0.320350	0.828985	0.739543	0.359424	0.755834	0.689759	
0.001000	0.316509	0.829182	0.738556	0.354750	0.803297	0.728394	
0.001000	0.316587	0.832288	0.742860	0.856178	0.500059	0.405968	
0.001000	0.318530	0.831005	0.739773	0.351352	0.800530	0.732298	
0.001000	0.320398	0.833638	0.741149	0.324183	0.769191	0.700494	
0.001000	0.316298	0.829728	0.739007	0.323040	0.836437	0.750587	
0.001000	0.319011	0.831201	0.738307	0.332968	0.768099	0.702246	
0.001000	0.318345	0.832892	0.740140	0.324535	0.792857	0.719261	
0.001000	0.318728	0.831389	0.741605	0.848754	0.500000	0.405097	
0.001000	0.314237	0.832181	0.741081	0.842924	0.499998	0.403941	
0.001000	0.326536	0.827400	0.735312	0.550618	0.615948	0.535289	
0.001000	0.318857	0.832819	0.742731	0.327734	0.835304	0.758910	
0.001000	0.320267	0.829526	0.739359	0.326519	0.808510	0.738136	
0.001000	0.319173	0.832315	0.740602	0.443389	0.673783	0.597814	
0.001000	0.315969	0.830302	0.738214	0.442106	0.710179	0.628394	
0.001000	0.316245	0.834528	0.745538	0.330487	0.789834	0.722897	
